t,n_valid,speed_relerr,tau_corr,tau_sign_agree,tau_bulk_mean_relerr,ramp_confounded
10.0648,149208,3.25693e-05,0.998974,0.595055,-0.000359784,1
10.1243,149228,2.68336e-05,0.999631,0.617511,-0.00131861,1
10.1839,149221,3.53066e-05,0.999901,0.666046,-0.0110849,1
10.2434,149211,2.42163e-05,0.999678,0.614546,-0.00227042,1
10.303,149206,3.42388e-05,0.999491,0.624251,0.00128902,1
10.3625,149211,3.8098e-05,0.998679,0.635382,-0.000995226,1
10.4221,149212,2.91963e-05,0.999869,0.60664,-0.00146357,1
10.4817,149222,2.70621e-05,0.999883,0.716577,-0.020564,1
10.5412,149213,2.66448e-05,0.999911,0.617788,-0.0062165,1
10.6008,149203,2.42857e-05,0.998969,0.649357,0.00123534,1
10.6603,149211,2.7355e-05,0.995778,0.628942,-0.00296147,1
10.7199,149212,2.3479e-05,0.999546,0.601976,-0.000173488,1
10.7794,149225,2.45057e-05,0.999957,0.72252,0.000429929,1
10.839,149209,2.83203e-05,0.999716,0.599227,-0.000667198,1
10.8985,149212,2.83095e-05,0.999622,0.624755,-0.00121378,1
10.9581,149208,4.05805e-05,0.998642,0.626642,0.000220858,1
11.0176,149214,2.75863e-05,0.999781,0.614252,0.000592519,1
11.0772,149216,2.58015e-05,0.999909,0.70091,-0.00238982,1
11.1368,149215,3.40589e-05,0.999912,0.610468,-0.000564741,1
11.1963,149192,2.49852e-05,0.999077,0.633238,0.00115853,1
11.2559,149198,2.32107e-05,0.999716,0.652073,-0.000363503,1
11.3154,149210,2.82679e-05,0.998516,0.628316,0.000292647,1
11.375,149225,2.45246e-05,0.999957,0.68524,-0.00273684,1
11.4345,149216,2.58852e-05,0.999856,0.613205,-0.000233649,1
11.4941,149224,2.48997e-05,0.999109,0.609299,-0.000168862,1
11.5536,149168,3.4402e-05,0.999812,0.666799,-0.000444827,1
11.6132,149217,3.58887e-05,0.999376,0.609267,0.00099969,0
11.6728,149220,2.46827e-05,0.99995,0.668697,-0.00204102,0
11.7323,149218,2.93387e-05,0.999932,0.643495,0.000292034,0
11.7919,149196,2.87036e-05,0.999894,0.612972,-0.00120914,0
11.8514,149250,2.2768e-05,0.998587,0.646037,0.000333108,0
11.911,149214,2.68265e-05,0.999661,0.598784,-8.60982e-05,0
11.9705,149224,2.86606e-05,0.999795,0.646726,-0.000548943,0
12.0301,149216,2.68371e-05,0.999942,0.636889,0.000346697,0
12.0896,149215,2.56319e-05,0.999341,0.621459,-0.00149275,0
12.1492,149234,4.2175e-05,0.996309,0.618693,-0.00126541,0
12.2087,149216,3.37125e-05,0.999486,0.607234,0.00111677,0
12.2683,149214,2.42736e-05,0.999833,0.660012,-0.0021024,0
12.3279,149216,2.88475e-05,0.999841,0.63203,0.000133366,0
12.3874,149214,3.20158e-05,0.999552,0.613937,-0.000393247,0
12.447,149224,2.70293e-05,0.999058,0.613916,-7.51183e-05,0
12.5065,149204,2.50902e-05,0.999117,0.636585,0.000399241,0
12.5661,149218,2.87955e-05,0.999903,0.641699,-0.00157713,0
12.6256,149222,2.62023e-05,0.999804,0.643008,0.00133438,0
12.6852,149215,2.37081e-05,0.999847,0.622009,-0.000691506,0
12.7447,149237,2.49147e-05,0.999695,0.642609,8.12545e-06,0
12.8043,149200,2.63373e-05,0.999472,0.642125,0.000610697,0
12.8638,149206,2.35495e-05,0.999815,0.627488,-0.0034781,0
12.9234,149221,2.71024e-05,0.999917,0.639702,-0.000246269,0
12.983,149217,3.19389e-05,0.999556,0.61883,-0.0027611,0
13.0425,149189,2.74768e-05,0.999041,0.614207,0.000411706,0
13.1021,149218,2.45978e-05,0.998168,0.615884,0.00151664,0
13.1616,149223,2.75582e-05,0.999782,0.624495,-0.0037461,0
13.2212,149221,3.08141e-05,0.999741,0.686726,-0.0232641,0
13.2807,149210,2.70779e-05,0.999784,0.621929,-0.00770781,0
